gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
FLJ10038,5.245380475244259,0.0016121840346214132,8510,FLJ10038,9.361315,5.2401853,-0.8585508,-22.328846476885968,3.7720486182690327e-56,-0.3709014072071964,0.3709014072071964,0.3709014072071964,1943,D_neither
HOXB7,5.2453739409432325,0.0016121820262836306,8511,HOXB7,17.588158,18.493774,-0.14132261,-1.5440723930465294,0.1246637414785108,-0.0366582441942511,0.0366582441942511,0.0366582441942511,16378,D_neither
ZNF202,5.244834104789146,0.0016120161059594452,8512,ZNF202,11.12346,8.306869,-0.37551618,-7.096473930194013,6.879684587045015e-11,-0.2092763306077716,0.2092763306077716,0.2092763306077716,5872,D_neither
TLE2,5.244743380367327,0.0016119882215256851,8513,TLE2,55.10437,32.47664,-1.0112796,-18.66744982283331,1.2388090229094889e-48,-0.2848976564982,0.2848976564982,0.2848976564982,3624,D_neither
TEX22,5.244670272072867,0.0016119657514635643,8514,TEX22,0.47865137,1.0590792,0.3688928,12.145838968161256,1.0324297930470583e-26,0.1910577102236723,0.1910577102236723,0.1910577102236723,6585,D_neither
CYP4A11,5.244514014302265,0.0016119177251508422,8515,CYP4A11,0.67457485,0.36088616,-0.2046884,-3.679230787701788,0.000341637349894,-0.1177905271065937,0.1177905271065937,0.1177905271065937,10244,D_neither
unknown_6,5.243999587885055,0.0016117596145884669,8516,,,,,,,,,,20869,D_neither
MAP3K11,5.242577847006181,0.001611322638098943,8517,MAP3K11,54.28394,58.65048,0.056147575,1.2925895224168962,0.198002723699083,0.0281678945745535,0.0281678945745535,0.0281678945745535,17348,D_neither
ATXN2,5.2425506036366185,0.0016113142647644128,8518,ATXN2,25.781664,25.54831,-0.084711075,-2.3822129562492305,0.0182258291323432,-0.045277389549461,0.045277389549461,0.045277389549461,15499,D_neither
LEO1,5.242426238000033,0.0016112760405984623,8519,LEO1,35.147217,57.333725,0.5880971,11.607344718790342,3.7254368283703674e-23,0.2389906284487345,0.2389906284487345,0.2389906284487345,4869,D_neither
SCYL1,5.241681653693534,0.0016110471902916004,8520,SCYL1,77.084236,99.630104,0.31484032,9.803649008692537,1.888556711978375e-18,0.1872784678342363,0.1872784678342363,0.1872784678342363,6758,D_neither
FBXO39,5.240788493686404,0.0016107726747801607,8521,FBXO39,0.29600957,0.4470404,0.03687492,1.4113658221570275,0.1594426781021478,0.0225595992925386,0.0225595992925386,0.0225595992925386,18089,D_neither
MRFAP1L1,5.24039132910479,0.001610650605008365,8522,MRFAP1L1,128.20114,145.15935,0.11402559,3.109489051405506,0.002183420248464,0.0610899477898948,0.0610899477898948,0.0610899477898948,14077,D_neither
BRP44,5.24027723171332,0.0016106155368195486,8523,BRP44,62.695435,98.08816,0.47723436,10.58720956463928,4.2738007471615e-21,0.1851859817004129,0.1851859817004129,0.1851859817004129,6842,D_neither
CLCNKB,5.239794688449835,0.0016104672256438241,8524,CLCNKB,0.5350645,0.24332933,-0.32193825,-13.78967867913178,1.7710415530597393e-28,-0.3131507129292868,0.3131507129292868,0.3131507129292868,2970,D_neither
BBX,5.2392178302126,0.0016102899264670153,8525,BBX,37.631542,27.184233,-0.56188583,-9.164417476532927,2.58608910235708e-16,-0.2016191870240648,0.2016191870240648,0.2016191870240648,6158,D_neither
CCNI,5.239148365734809,0.0016102685763433023,8526,CCNI,596.1307,463.36096,-0.48339653,-10.304852637214053,2.2376276635395547e-20,-0.1762669423579464,0.1762669423579464,0.1762669423579464,7244,D_neither
LPPR5,5.238872876363854,0.0016101839038266646,8527,LPPR5,0.024334092,0.22838049,0.22127454,20.27404143965104,2.593933740187088e-75,0.2121947135841798,0.2121947135841798,0.2121947135841798,5757,D_neither
NUP37,5.237524619635784,0.0016097695129198802,8528,NUP37,34.068645,42.155617,0.23665094,8.34389072588361,9.854684934007825e-15,0.1431990290383876,0.1431990290383876,0.1431990290383876,8862,D_neither
ZNF844,5.236266297856532,0.0016093827637998688,8529,ZNF844,16.981474,13.2441435,-0.49508905,-6.583122947091261,6.126196436692811e-10,-0.1415011387708639,0.1415011387708639,0.1415011387708639,8960,D_neither
LOC100131635,5.235653982494876,0.001609194566765378,8530,LOC100131635,0.3120963,0.35879493,-0.100871354,-2.9241839593197496,0.0039437021578978,-0.0625351568794081,0.0625351568794081,0.0625351568794081,13959,D_neither
CASC2,5.235577632441652,0.0016091711003385994,8531,CASC2,1.5531968,1.5782518,-0.06548476,-2.1756817053298705,0.030664197532559,-0.0368138547442096,0.0368138547442096,0.0368138547442096,16362,D_neither
MAP6D1,5.235017354436861,0.001608998897147899,8532,MAP6D1,3.3215172,6.8683343,0.6253185,10.848635478488411,1.2648145498764258e-21,0.1983348977105347,0.1983348977105347,0.1983348977105347,6279,D_neither
RFPL1,5.234820112076785,0.001608938274093887,8533,RFPL1,0.0055510174,0.027395919,0.029103162,9.513374295330408,9.987805544321921e-20,0.1172813036149851,0.1172813036149851,0.1172813036149851,10280,D_neither
MTO1,5.234706327169595,0.0016089033019480875,8534,MTO1,20.848927,18.358368,-0.21539688,-5.801004640235438,3.436280769794145e-08,-0.1268048707806976,0.1268048707806976,0.1268048707806976,9747,D_neither
DGCR11,5.234167903674035,0.0016087378158089023,8535,DGCR11,1.7278261,2.1615927,0.13496554,4.01042853354332,8.811915278149307e-05,0.0764386539789499,0.0764386539789499,0.0764386539789499,12891,D_neither
USP7,5.2338772414210615,0.0016086484798596946,8536,USP7,66.235435,83.55465,0.26481438,8.660287880206031,1.5050247731461588e-15,0.1517091969207639,0.1517091969207639,0.1517091969207639,8438,D_neither
FAM83G,5.232537926252678,0.0016082368371691433,8537,FAM83G,5.211457,7.5876403,0.3552606,4.906208867200981,2.3788208965963154e-06,0.1157695584424959,0.1157695584424959,0.1157695584424959,10363,D_neither
FAM55C,5.232162227133362,0.001608121364874075,8538,FAM55C,11.939211,12.305288,-0.22409987,-4.213806434660623,3.640021233227042e-05,-0.0695436859135145,0.0695436859135145,0.0695436859135145,13423,D_neither
